,brewery_id,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired
71,nHLlnK,WaxgGo,NaN,Audition - Pilsner,American-Style Pilsener,5.2,NaN,N
72,nHLlnK,HxW3xw,NaN,Audition - Rye Bock,Rye Ale or Lager with or without Yeast,7.2,NaN,N
73,nHLlnK,eOVHdT,NaN,Audition - Scotch Ale,Scotch Ale,7.3,NaN,N
74,nHLlnK,kLnpDN,NaN,Bad Luck Blonde,Golden or Blonde Ale,6.5,NaN,N
75,nHLlnK,Beiqbm,NaN,Baltic Joy,Baltic-Style Porter,7.4,NaN,N
76,nHLlnK,hO6U5X,NaN,Barrel Aged Narwhal,American-Style Imperial Stout,12.9,NaN,N
77,nHLlnK,HIwvra,Seasonal,Barrel-Aged Bigfoot (Whiskey Barrels),American-Style Barley Wine Ale,11.9,NaN,N
78,nHLlnK,AZgmir,NaN,Barrel-Aged Hoptimum  (Trip in the Woods),American-Style India Pale Ale,11.5,NaN,N
79,nHLlnK,xjSOtt,NaN,Barrel-Aged Porter,Wood- and Barrel-Aged Beer,7.4,NaN,N
80,nHLlnK,4A41PO,NaN,Barrel-Aged Torpedo Extra IPA,American-Style India Pale Ale,8.5,NaN,N
81,nHLlnK,ISTT06,NaN,Beer Camp,American-Style India Pale Ale,6.5,50,N
82,nHLlnK,2rqlKs,NaN,Beer Camp 013: Old Cantankerous,Old Ale,6.6,NaN,N
83,nHLlnK,mgTvuM,Seasonal,Beer Camp 257,Imperial or Double India Pale Ale,9.7,NaN,N
84,nHLlnK,7iFx4r,Limited,Beer Camp Across America,Imperial or Double India Pale Ale,8.6,NaN,N
85,nHLlnK,6mTebP,NaN,Beer Camp Golden IPA,American-Style India Pale Ale,6.5,50,N
86,nHLlnK,pTHBWA,Year Round,Beer Camp Hoppy Lager,American-Style Lager,7,55,N
87,nHLlnK,pGqazY,Limited,Beer Camp Tropical IPA,American-Style India Pale Ale,6.7,55,N
88,x5tPgB,ZK2Swv,Limited,Beer Camp: Atlantic-Style Vintage Ale,Classic English-Style Pale Ale,8.5,40,N
89,nHLlnK,BdlH6M,Limited,Beer Camp: Campout Porter,Brown Porter,7.7,32,N
90,KSqbyz,QHCtPE,Limited,Beer Camp: Dry Hopped Belgian Golden,Golden or Blonde Ale,8,35,N
91,Jio9R0,nxU5Fn,Limited,Beer Camp: Dry-Hopped Barleywine-Style Ale,American-Style Barley Wine Ale,9.4,90,N
92,H3UW27,2avhYf,Limited,Beer Camp: Dry-Hopped Berliner-Style Weisse,Berliner-Style Weisse (Wheat),4.2,10,N
93,nHLlnK,eueVi6,Limited,Beer Camp: Dunkle Weisse,South German-Style Dunkel Weizen / Dunkel Weissbier,5.7,10,N
94,nHLlnK,z8iAm9,Limited,Beer Camp: East Meets West IPA,American-Style India Pale Ale,7,40,N
95,nHLlnK,bSQyva,Limited,Beer Camp: Ginger Lager,American-Style Lager,6.2,20,N
96,nHLlnK,q5sbES,Limited,Beer Camp: Raspberry Sundae Ale,Herb and Spice Beer,8,10,N
97,nHLlnK,lT9g7O,NaN,Beer Camp: Stout of the Union,American-Style Stout,7,64,N
98,tFoqj5,SPbPNt,Limited,Beer Camp: Thai-Style Iced Tea,Herb and Spice Beer,7.2,12,N
99,nHLlnK,4jKDXK,Limited,Beer Camp: West Coast DIPA,Imperial or Double India Pale Ale,8.2,65,N
100,a2GCv8,h331gl,Limited,Beer Camp: White IPA with Yuzu,American-Style India Pale Ale,7,20,N
101,nHLlnK,BoJHzM,NaN,Belgian Black IPA - Beer Camp #94,Belgian-Style Pale Ale,7.7,52,N
102,nHLlnK,X8qNCS,NaN,Belgian-Style Blonde IPA,Belgian-Style Blonde Ale,7.5,NaN,N
103,nHLlnK,pSVIAZ,NaN,BFD - Beer For Drinking,Golden or Blonde Ale,4.8,33,N
104,nHLlnK,oIutyD,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
105,nHLlnK,4sdq0d,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
106,nHLlnK,pdLPeS,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
107,nHLlnK,ygAzC9,Seasonal,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
108,nHLlnK,eyYenc,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
109,nHLlnK,2CRlqm,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
110,nHLlnK,8PsCAg,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
111,nHLlnK,IphbdN,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
112,nHLlnK,DJcbV1,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
113,nHLlnK,9HcWSd,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
114,nHLlnK,zqS7ze,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
115,nHLlnK,qUIYuC,Limited,Bigfoot,British-Style Barley Wine Ale,9.6,90,N
116,nHLlnK,AFNvz4,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
117,nHLlnK,1UhodH,NaN,Bigfoot,American-Style Barley Wine Ale,NaN,NaN,N
118,nHLlnK,ysyw2P,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
119,nHLlnK,dapUuF,NaN,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
120,nHLlnK,Rx4Dnt,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
121,nHLlnK,aztnLa,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,90,N
122,nHLlnK,ER2JSs,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
123,nHLlnK,ETtkIW,Limited,Bigfoot,American-Style Barley Wine Ale,9.6,NaN,N
124,nHLlnK,0T4pOY,NaN,Bigfoot Barrel-Aged,American-Style Barley Wine Ale,12.2,NaN,N
125,nHLlnK,yoGDFl,NaN,Black Eye PA,American-Style Black Ale,7.5,NaN,N
126,nHLlnK,fyj05b,NaN,Black IPA,American-Style India Pale Ale,6.9,NaN,N
127,nHLlnK,i0Hy6x,NaN,Black Vapor,German-Style Schwarzbier,6,NaN,N
128,nHLlnK,QFJ250,NaN,Blantons Barrel Aged Scotch Ale,Scotch Ale,11.3,NaN,N
129,nHLlnK,d16niD,Limited,Blindfold,American-Style Black Ale,7.4,70,N
130,nHLlnK,24mTU2,NaN,Blizzicane Bock,Traditional German-Style Bock,7.7,NaN,N
131,nHLlnK,95tyDm,NaN,Blonde Ale,Golden or Blonde Ale,NaN,NaN,N
132,nHLlnK,IlrJbh,NaN,Blood Shot,Imperial Red Ale,8.6,NaN,N
133,nHLlnK,oYED15,Limited,Blue Ridge Red,Irish-Style Red Ale,6.3,37,N
134,nHLlnK,HgMkeg,NaN,Bonnaroo Brew,French & Belgian-Style Saison,4.8,NaN,N
135,nHLlnK,AEFy0R,NaN,Boomerang,American-Style India Pale Ale,6.7,NaN,N
136,nHLlnK,NU4qr0,NaN,Bosden,American-Style Stout,6.8,NaN,N
137,nHLlnK,5lW8HD,NaN,Bourbon Barrel Aged Maillard's Odyssey,American-Style Imperial Porter,9.3,NaN,N
138,NzbBOK,hImGQV,NaN,Braupakt,South German-Style Hefeweizen / Hefeweissbier,6,21,N
139,nHLlnK,KuiKeS,NaN,Breakfast At Chicos,Specialty Stouts,7.5,32,N
140,nHLlnK,9slIEB,NaN,Broken Vow,American-Style Imperial Porter,NaN,NaN,N
141,nHLlnK,APs5oE,NaN,Brut IPA,American-Style India Pale Ale,6.2,25,N
142,BSsTGw,GwYXdk,Limited,Brux,Specialty Beer,8.3,NaN,N
143,nHLlnK,BbrPm8,NaN,Buffalo Trace Aged Scotch Ale,Scotch Ale,11.1,NaN,N
144,q6vJUK,xpBGZB,Limited,CANfusion - Beer Camp Across America,Rye Ale or Lager with or without Yeast,7.2,45,N
145,nHLlnK,80tC1T,NaN,Cask-Aid,Specialty Beer,5.5,NaN,N
146,nHLlnK,KY5gtZ,Seasonal,Celebration Ale,"Fresh ""Wet"" Hop Ale",6.8,65,N
147,nHLlnK,PLnqH7,NaN,Celebration Ale,American-Style Pale Ale,NaN,NaN,N
148,nHLlnK,v5a7l8,NaN,Celebrator Beer News,American-Style Strong Pale Ale,9.3,NaN,N
149,nHLlnK,LkfL1Y,Limited,Cherry Chocolate Stout,Imperial or Double India Pale Ale,8.5,NaN,N
150,nHLlnK,Z10a03,Limited,Chico King - Beer Camp Across America,American-Style Pale Ale,6.5,45,N
151,nHLlnK,dnUKxu,NaN,Chocolate Chili Stout - High Altitude Series,American-Style Imperial Stout,8.8,NaN,N
152,nHLlnK,oEiXJV,Seasonal,Christmas Jam,Session Beer,4.2,NaN,N
153,nHLlnK,3dsDxX,NaN,Clean Sweep,Golden or Blonde Ale,3.5,NaN,N
154,nHLlnK,mXym9s,NaN,Coffee Stout,Specialty Stouts,6.2,NaN,N
155,nHLlnK,XVWs1B,NaN,Dark Wheat,American-Style Premium Lager,NaN,NaN,N
156,nHLlnK,4nRKTH,Seasonal,DevESTATEtion,American-Style Black Ale,6.7,67,N
157,nHLlnK,0I5b84,NaN,Double DeBOCKel,German-Style Doppelbock,9.4,NaN,N
158,nHLlnK,4GgbWG,NaN,Draught-Style Pale Ale,American-Style Pale Ale,5,36,N
159,nHLlnK,vzcxNZ,NaN,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,5.5,NaN,N
160,nHLlnK,hKT9uI,NaN,Dunkelweizen Bock,South German-Style Weizenbock / Weissbock,7.2,NaN,N
161,nHLlnK,nvaDvZ,NaN,Eagle Rare Barrel Aged Scotch Ale,Scotch Ale,11.3,NaN,N
162,nHLlnK,AC98pm,NaN,Earth Day EPA,Extra Special Bitter,5.2,NaN,N
163,nHLlnK,PSRi4b,NaN,Electric Ray,Imperial or Double India Pale Ale,8.5,70,N
164,1d90Lc,jBjeGJ,Limited,Electric Ray - Beer Camp Across America,American-Style Premium Lager,8.5,70,N
165,nHLlnK,TavGRG,Seasonal,ESB - Early Spring Beer,American-Style Pale Ale,5.9,NaN,N
166,nHLlnK,LDb6oj,Limited,Estate Ale,Specialty Beer,6.7,67,N
167,nHLlnK,Dn64tp,NaN,Experimental Hop Double IPA,Imperial or Double India Pale Ale,8,65,N
168,nHLlnK,z9eSax,NaN,EXPERIMENTAL HOP PILSNER,American-Style Pilsener,5.5,46,N
169,nHLlnK,bTNGkO,NaN,Experimental Hop Session IPA,Session India Pale Ale,4.6,41,N
170,nHLlnK,JW5SJV,NaN,Family Values,American-Style Brown Ale,8.5,35,N
171,nHLlnK,A2xLSS,NaN,Fantastic Haze,Imperial or Double India Pale Ale,9,40,N
172,nHLlnK,KPu2Ot,NaN,Festival Bier,American-Style Märzen / Oktoberfest,6,NaN,N
173,nHLlnK,9Ylplt,Limited,Fistful of Hops,American-Style Pale Ale,6.2,NaN,N
174,nHLlnK,ceP1Cs,NaN,Five Hop - Experimental IPA,American-Style India Pale Ale,5.8,60,N
175,nHLlnK,ePh6fw,Fall,Flipside Red IPA,American-Style Amber/Red Ale,6.2,60,N
176,nHLlnK,OxvWPv,Limited,Floral IPA - Beer Camp #53,American-Style India Pale Ale,5.9,NaN,N
177,nHLlnK,1XAbSf,NaN,Foam Pilsner,American-Style Pilsener,5.6,NaN,N
178,nHLlnK,FVFucy,NaN,Fresh Hop Double IPA,Imperial or Double India Pale Ale,8,NaN,N
179,nHLlnK,1FBXjy,NaN,Fresh Hop IPA,American-Style India Pale Ale,6.4,58,N
180,nHLlnK,oLL7QN,NaN,German Style IPA,American-Style India Pale Ale,6.1,45,N
181,nHLlnK,oBALsi,Seasonal,Glissade Golden Bock,German-Style Heller Bock/Maibock,6.4,42,N
182,nHLlnK,llmv40,NaN,Golden IPA,American-Style India Pale Ale,5.9,55,N
183,nHLlnK,4o9Ml2,NaN,Grandma's Closet,Wood- and Barrel-Aged Beer,7.6,NaN,N
184,nHLlnK,56HXGK,NaN,GUARD de BEER,French-Style Bière de Garde,7,NaN,N
185,nHLlnK,GGaceU,NaN,Harvest Ale,American-Style Pale Ale,6.7,NaN,N
186,nHLlnK,YEIMmF,NaN,Harvest Brewers Select IPA,American-Style India Pale Ale,6.6,NaN,N
187,nHLlnK,x8U1bY,NaN,Harvest Fresh Hop IPA - Southern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",6.7,67,N
188,nHLlnK,CU1fkx,NaN,Harvest Newly Developed Hop IPA,American-Style India Pale Ale,6.5,55,N
189,nHLlnK,peyS4P,NaN,Harvest Single Hop IPA - Equinox Hops,American-Style India Pale Ale,6.5,55,N
190,nHLlnK,0oHOZv,NaN,Harvest Single Hop IPA - Idaho 7 Varietal,American-Style India Pale Ale,6.5,55,N
191,nHLlnK,zGsXaD,NaN,Harvest Single Hop Mandarina Hops,American-Style India Pale Ale,6.5,NaN,N
192,nHLlnK,FK6HtH,Seasonal,Harvest Single Hop Yakima #291,American-Style India Pale Ale,6.5,55,N
193,nHLlnK,ZSCpkz,NaN,Harvest Wet Hop IPA - Northern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",6.7,67,N
194,nHLlnK,Mx9jQm,NaN,Harvest Wild Hop IPA - Neomexicanus Varietal,American-Style India Pale Ale,6.5,55,N
195,nHLlnK,b601KW,Year Round,Hazy Little Thing,Juicy or Hazy India Pale Ale,6.7,40,N
196,nHLlnK,4U8cc8,NaN,High Sierra FestivAle,Golden or Blonde Ale,5.2,NaN,N
197,nHLlnK,C0Ax0o,NaN,Holiday Haze,American-Style India Pale Ale,6.5,40,N
198,nHLlnK,2VR5QQ,NaN,Hop And Sour,American-Style Sour Ale,4.4,NaN,N
199,nHLlnK,MUXP6K,NaN,Hop Bam,Specialty Beer,5.8,NaN,N
200,nHLlnK,YSLzio,NaN,Hop Bullet IPA,Imperial or Double India Pale Ale,8,50,N
201,nHLlnK,kVKPX7,Limited,Hop Harmony,American-Style India Pale Ale,6.7,NaN,N
202,nHLlnK,Xmetdp,Year Round,Hop Hunter IPA,"Fresh ""Wet"" Hop Ale",6.2,60,N
203,nHLlnK,4QXro7,NaN,Hop Secret 644,Specialty Beer,7,NaN,N
204,nHLlnK,qXs21b,NaN,Hop Smack Double,Specialty Beer,8.1,NaN,N
205,nHLlnK,XFwk42,NaN,Hoppy Wheat IPA,American-Style India Pale Ale,6.2,52,N
206,nHLlnK,KQDQgO,Limited,Hoptimum,Imperial or Double India Pale Ale,10.4,100,N
207,nHLlnK,sAQpBR,NaN,Hoptimum,Imperial or Double India Pale Ale,9.6,68,N
208,nHLlnK,nOFAoT,NaN,Hoptinite,American-Style India Pale Ale,8,NaN,N
209,nHLlnK,dbN8in,Limited,Imperial Pilsner - Beer Camp #43,American-Style Pilsener,5.6,NaN,N
210,nHLlnK,meCiGU,Limited,Imperial Red Ale - Beer Camp #65,Imperial Red Ale,8.1,NaN,N
211,nHLlnK,qpfWYm,NaN,India Farmhouse Ale,French & Belgian-Style Saison,7.4,NaN,N
212,nHLlnK,gVynTw,NaN,India Pale Ale,American-Style Pale Ale,6.8,NaN,N
213,nHLlnK,xw3Nti,NaN,Karaoke Fail,American-Style Pale Ale,6.7,37,N
214,nHLlnK,JVv3qI,Year Round,Kellerweis,South German-Style Hefeweizen / Hefeweissbier,4.8,15,N
215,nHLlnK,FNByFy,NaN,Knightro,Classic Irish-Style Dry Stout,4.6,NaN,N
216,nHLlnK,vuZYco,NaN,Kolsch,German-Style Kölsch / Köln-Style Kölsch,5,34,N
217,nHLlnK,7x2tzn,NaN,Kölsch TEST DUMMIES,Fruit Beer,6.4,NaN,N
218,nHLlnK,xoUVy2,Limited,Life and Limb,Specialty Beer,10.2,NaN,N
219,nHLlnK,epip51,NaN,Long Steam IPA,American-Style India Pale Ale,5.8,NaN,N
220,nHLlnK,C94dnF,Limited,Mach 25 Intergalactic Planetary Ale,Specialty Beer,5,NaN,N
221,nHLlnK,CEVOre,NaN,Mai-nd-Bockling,German-Style Heller Bock/Maibock,6,30,N
222,nHLlnK,n8itvA,NaN,Maillard's Odyssey,Imperial Red Ale,8.5,40,N
223,noGtDY,whHlqc,Limited,Maillard's Odyssey - Beer Camp Across America,American-Belgo-Style Ale,8.5,40,N
224,nHLlnK,iNpc02,NaN,Maple Scotch-Style Ale,Scotch Ale,7.3,43,N
225,nHLlnK,vpoGSw,NaN,Moxee-Moron,Imperial or Double India Pale Ale,7.5,70,N
226,pdLPeS,S9QxGf,Limited,Myron's Walk - Beer Camp Across America,Belgian-Style Pale Ale,5.3,38,N
227,nHLlnK,Rg6aeS,Seasonal,Narwhal,American-Style Imperial Stout,10.2,60,N
228,nHLlnK,9Qr0BU,NaN,Narwhal Tawny Port Barrel Aged,American-Style Imperial Stout,11.4,NaN,N
229,nHLlnK,TPdvZt,NaN,Neomixicanus,American-Style India Pale Ale,6.5,NaN,N
230,nHLlnK,TOBHd9,NaN,No Middle Ground,American-Style India Pale Ale,6.9,45,N
231,nHLlnK,he3yMK,NaN,Nooner Pilsner,American-Style Pilsener,5.2,38,N
232,nHLlnK,OhhDEr,NaN,Nooner Session IPA,American-Style India Pale Ale,4.8,40,N
233,nHLlnK,2EkHBG,NaN,NXS,American-Style India Pale Ale,6.5,54,N
234,nHLlnK,BEFupD,Limited,NxS IPA,Imperial or Double India Pale Ale,9,NaN,N
235,nHLlnK,1HeKZM,Limited,Oatmeal Stout - Beer Camp #45,Oatmeal Stout,9,NaN,N
236,nHLlnK,798rjW,NaN,Oh Saisonna,French & Belgian-Style Saison,8.3,NaN,N
237,NzbBOK,Q5y7v5,Limited,Oktoberfest,American-Style Märzen / Oktoberfest,6,20,N
238,xffxw3,CB7bu4,NaN,Oktoberfest,American-Style Märzen / Oktoberfest,6,22,N
239,nHLlnK,jChDlj,NaN,Old Chico Crystal Wheat,American-Style Pale Ale,4.8,26,N
240,nHLlnK,Uz0Uxf,NaN,Old Chico ESB,Extra Special Bitter,NaN,NaN,N
241,nHLlnK,kGli9E,NaN,Old CHico Pale Bock,Traditional German-Style Bock,NaN,NaN,N
242,nHLlnK,UZD25d,Year Round,Otra Vez,Contemporary Gose,4.5,NaN,N
243,nHLlnK,cByN2F,NaN,Otra Vez Gose With Lime & Agave,Contemporary Gose,4.9,6,N
244,nHLlnK,dM2XzJ,NaN,Ovila Abbey Aged Dubbel,Belgian-Style Dubbel,8.5,NaN,N
245,nHLlnK,uXdZle,NaN,Ovila Abbey Brown Ale (With Mandarins and Cocoa),American-Style Brown Ale,7,NaN,N
246,nHLlnK,7i1hXo,NaN,Ovila Abbey Saison,French & Belgian-Style Saison,7.5,24,N
247,nHLlnK,ONdtij,NaN,Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),French & Belgian-Style Saison,7.5,24,N
248,nHLlnK,Lx7DEm,Limited,Ovila Abbey Trippel,Belgian-Style Tripel,8.8,30,N
249,nHLlnK,HO9ROw,NaN,Ovila Abbey White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.3,22,N
250,nHLlnK,qGQc7S,Limited,Ovila Belgian Golden Ale,Belgian-Style Pale Strong Ale,8.5,NaN,N
251,nHLlnK,3zb9Gq,NaN,Ovila Dubbel,Belgian-Style Dubbel,7.5,NaN,N
252,nHLlnK,cB7Dxt,NaN,Ovila Dubbel Barrel-Aged,Wood- and Barrel-Aged Beer,10.8,NaN,N
253,nHLlnK,4KIe0t,NaN,Ovila Golden With Pomegranates,Golden or Blonde Ale,8.5,30,N
254,nHLlnK,AlRuKw,NaN,Ovila Quad,Belgian-Style Tripel,10.5,NaN,N
255,nHLlnK,T7K4um,Limited,Ovila Quad Brandy Barrel-Aged,Belgian-Style Quadrupel,10.1,NaN,N
256,nHLlnK,UuyWmA,NaN,Ovila Wood-Aged Saison,French & Belgian-Style Saison,7.8,NaN,N
257,nHLlnK,cdkpyx,Year Round,Pale Ale,American-Style Pale Ale,5.6,37,N
258,nHLlnK,yjsHPX,NaN,Passion Fruit Milkshake Ipa,Juicy or Hazy India Pale Ale,6.2,NaN,N
259,nHLlnK,Y9X4cN,NaN,Pat-Rye-Ot,American-Style Pale Ale,5.6,39,N
260,nHLlnK,AJwGIV,NaN,Peach IPA,American-Style India Pale Ale,5.8,NaN,N
261,nHLlnK,6Q7pkn,Limited,Pitch-A-Tent,Specialty Beer,9,NaN,N
262,nHLlnK,cglNbC,NaN,Port Barrel Aged Biere De Garde,French-Style Bière de Garde,10.2,15,N
263,nHLlnK,0K21pW,NaN,Porter,Brown Porter,5.6,32,N
